,title,return
0,"[$$] A Browser You__e Never Heard of Is Dethroning Google in AsiaA mobile browser rarely used in the West, UC Browser, has outflanked Google__ Chrome in some of Asia__ fastest-growing markets, giving owner Alibaba Group an advantage in the race for the next generation ...",0.016413127
1,Stocks Charge Ahead; Will Apple Buy Netflix?Stocks indexes opened the new year s first session on a cheerful note as the major indexes gripped solid gains midday Tuesday ibd display video id 3058793 width 50 float left autostart true The Nasdaq popped 1 1 while the S amp P 500 and the Dow Jones industrial average,0.016413127
2,"[$$] Buying Costco, Selling Alphabet, VerizonStichting Pensioenfonds DSM Nederland, the pension fund of Dutch chemicals company DSM, had a challenging 2016.  The fund, known as PDN, saw a return of 7.6% but that was bested by the four largest Dutch pension funds.",0.016413127
3,"The top iPhone and iPad apps on App StoreApp Store Official Charts for the week ending December 31, 2017:",0.016413127
4,"Google Chrome Browser Extension Caught Mining CryptocurrencyAlphabet Inc (NASDAQ: GOOGL ) removed its archive poster Chrome extension Tuesday after some of its 105,000 users reported the surreptitious deployment of an in-browser CoinHive miner. Early reports suggest ...",0.016413127
5,"Amazon Plans to Take on Facebook and Google in Digital AdvertisingGoogle and Facebook currently own the digital advertising space, but Amazon never saw a market it wouldn&apos;t try to disrupt.",0.016413127
6,Popular Google Chrome Extension Caught Mining Cryptocurrency on Thousands of ComputersSomeone reportedly hacked one of the developers.,0.016413127
7,"7 Stocks Leading the New Year ChargeThe company will next report results Feb. 1 after the close.  Analysts are looking for earnings of $9.96 per share on revenues of $31.60 billion.  When the company last reported on Oct. 26, earnings of $9.57 beat estimates by $1.17 on a 23.7% rise in revenues.",0.016413127
8,5 Reasons Why Dividend Growth Investing Should Be Your New Year__ ResolutionInvestorPlace Stock Market News Stock Advice amp Trading Tips Everyone knows the age old tradition of setting New Year s Resolutions There is 160 evidence 160 to suggest that this tradition has existed for over 4 000 years Source Blogspot Making a resolution that will,0.016413127
9,Huawei Guns for Apple Inc. and Samsung in 2018 With Planned U.S. PushInvestorPlace Stock Market News Stock Advice amp Trading Tips Apple Inc s NASDAQ AAPL iPhone X Alphabet Inc s NASDAQ GOOGL Google Pixel 2 and the Galaxy S8 were the smartphone releases that got the spotlight in 2017 But,0.016413127
10,The FANG+ Stocks Are All At Key Technical Levels To Start 2018The Nasdaq surged 28 in 2017 as big name tech stocks continued to show their dominance How well did the FANG stocks perform and could there be more room for them to run in 2018 Here s the scorecard for Facebook FB Amazon AMZN Netflix,0.016413127
11,"Here are 3 investible events that could happen in 2018: A...Paul Sagawa, Sector and Sovereign Research, highlights three things investors should watch in 2018.",0.016413127
12,"The FANG+ Stocks Are All At Key Technical LevelsHow well did FANG+ stocks Facebook, Amazon, Netflix, Google and Apple perform in 2017, and could there be more be more room for them to run in 2018?",0.016413127
13,"Will Trump and the Post Office Ruin the Run for Amazon.com, Inc.?InvestorPlace Stock Market News Stock Advice amp Trading Tips On Friday Amazon com Inc NASDAQ AMZN shares sank 1 4 thanks to a tweet rampage by President Donald Trump More specifically Trump went on Twitter Inc NYSE TWTR and made the case that the United",0.016413127
14,Amazon Plans to Take on Facebook and Google in Digital AdvertisingIt s no secret that digital advertising is locked in a virtual duopoly with the majority of the spoils split between social media titan Facebook Inc NASDAQ FB and search giant Google a division of Alphabet Inc NASDAQ GOOGL NASDAQ GOOG While estimates vary,0.016413127
15,If These 2 Huge Deals Happen in 2018 It Will Rock Wall Street ForeverTop Wall Street strategists are wasting no time predicting some mind-blowing deals in 2018. Two predictions already making the rounds include Apple buying Netflix and Amazon scooping up Target.,0.016413127
16,"These Top Four Internet Picks Are &apos;Giant Redwoods&apos; Of The ForestAlphabet, Amazon, Facebook and Alibaba are rated the top stock picks for 2018 by a Wall Street analyst.",0.016413127
17,The FANG+ Stocks Are All At Key Technical LevelsThe Nasdaq surged 28 in 2017 as big name tech stocks continued to show their dominance How well did the FANG stocks perform and could there be more room for them to run in 2018 Here s the scorecard for Facebook FB Amazon AMZN Netflix,0.016413127
18,"Stocks Up Broadly, Apple Strong; Will This Bitcoin ETF Soar In 2018?U S stocks got off to a riveting start to the new year particularly in the tech sectors as Apple AAPL behaved the way one would expect for a leading stock that is testing support at a key technical juncture ibd display video id 3058957 width 50 float left autostart",0.016413127
19,Apple Just Bought This Canadian Software StartupWill help Apple&apos;s software development efforts.,0.016413127
20,These Top Four Internet Picks Are 'Giant Redwoods' Of The ForestE commerce leaders Amazon AMZN and Alibaba BABA along with social media giant Facebook FB and Google owner Alphabet GOOGL are the top picks of a Wall Street analyst who refers to them as giant redwoods that represent compelling,0.016413127
21,Weibo Corp (ADR) Stock Is Still a Bargain by Many MeasuresInvestorPlace Stock Market News Stock Advice amp Trading Tips The surge in Weibo Corp ADR NASDAQ WB stock has paused Despite strong growth numbers WB stock fell back when the price reached overbought territory on the RSI indicator However with,0.016413127
22,"Weibo Corp (ADR) Stock Is Still a Bargain by Many MeasuresThe surge in Weibo Corp (ADR) (NASDAQ:WB) stock has paused.  Despite strong growth numbers, WB stock fell back when the price reached overbought territory on the RSI indicator.  Given the high growth of WB stock, the lower price creates a lucrative buying opportunity to profit from what many regard as the Facebook and Twitter of China.",0.016413127
23,Goldman Throws Its Hat in the ESG RingGoldman Sachs is the latest Wall Street titan to consider launching an ESG ETF.,0.016413127
